gspell 1.12.0-2
gssdp 1.6.2-1
gssproxy 0.9.1-2
gst-libav 1.20.4-3
gst-plugins-bad 1.20.4-3
gst-plugins-bad-libs 1.20.4-3
gst-plugins-base 1.20.4-3
gst-plugins-base-libs 1.20.4-3
gst-plugins-good 1.20.4-3
gst-plugins-ugly 1.20.4-3
gstreamer 1.20.4-3
gtk-update-icon-cache 1:4.8.2-1
gtk2 2.24.33-2
gtk3 1:3.24.35-2
gtkmm3 3.24.7-1
gts 0.7.6.121130-2
guile 3.0.8-3
gupnp 1:1.6.2-1
gupnp-igd 1.2.0-3
gutenprint 5.3.4-2
gwenview 22.08.3-2
gzip 1.12-1
harfbuzz 5.3.1-3
harfbuzz-icu 5.3.1-3
haveged 1.9.18-1
hicolor-icon-theme 0.17-2
hidapi 0.12.0-1
hplip 1:3.22.10-1
htop 3.2.1-1
hunspell 1.7.1-1
hwdata 0.364-1
hwinfo 22.1-1
hwloc 2.8.0-1
hyphen 2.8.8-5
iana-etc 20221107-1
icu 72.1-2
ijs 0.35-5
imagemagick 7.1.0.52-1
imath 3.1.6-1
imlib2 1.9.1-2
inetutils 2.3-1
iniparser 4.1-4
inkscape 1.2.1-8
inxi 3.3.24.1-1
iproute2 6.0.0-1
iptables 1:1.8.8-2
iputils 20221126-1
iso-codes 4.12.0-1
iw 5.19-1
jack2 1.9.21-1
jansson 2.14-2
jasper 3.0.6-1
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.19-1
jdk-openjdk 19.0.1.u10-3
jfsutils 1.1.15-8
jre-openjdk 19.0.1.u10-3
jre-openjdk-headless 19.0.1.u10-3
jre17-openjdk 17.0.5.u1-1
jre17-openjdk-headless 17.0.5.u1-1
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
kaccounts-integration 22.08.3-1
kaccounts-providers 22.08.3-1
kactivities 5.100.0-1
kactivities-stats 5.100.0-1
kactivitymanagerd 5.26.4-1
kamera 22.08.3-1
karchive 5.100.0-1
kate 22.08.3-1
kauth 5.100.0-1
kbd 2.5.1-1
kbookmarks 5.100.0-1
kcalc 22.08.3-1
kcmutils 5.100.0-1
kcodecs 5.100.0-1
kcolorpicker 0.2.0-1
kcompletion 5.100.0-1
kconfig 5.100.1-1
kconfigwidgets 5.100.0-1
kcontacts 1:5.100.0-1
kcoreaddons 5.100.0-1
kcrash 5.100.0-1
kdbusaddons 5.100.0-1
kde-cli-tools 5.26.4-1
kde-gtk-config 5.26.4-1
kdeclarative 5.100.0-1
kdeconnect 22.08.3-1
kdecoration 5.26.4-1
kded 5.100.0-1
kdegraphics-mobipocket 22.08.3-1
kdegraphics-thumbnailers 22.08.3-1
kdelibs4support 5.100.0-1
kdenetwork-filesharing 22.08.3-1
kdeplasma-addons 5.26.4-1
kdesu 5.100.0-1
kdnssd 5.100.0-1
kdoctools 5.100.0-1
kdsoap 2.1.1-1
kdsoap-ws-discovery-client git20200927-2
keditbookmarks 22.08.3-1
kemoticons 5.100.0-1
keyutils 1.6.3-1
kfilemetadata 5.100.0-1
kfind 22.08.3-1
kgamma5 5.26.4-1
kglobalaccel 5.100.0-1
kguiaddons 5.100.0-1
khelpcenter 22.08.3-1
kholidays 1:5.100.0-1
khotkeys 5.26.4-1
khtml 5.100.0-1
ki18n 5.100.0-1
kiconthemes 5.100.0-1
kidletime 5.100.0-1
kimageannotator 0.6.0-1
kimageformats 5.100.0-1
kinfocenter 5.26.4-1
kinit 5.100.0-1
kio 5.100.0-1
kio-extras 22.08.3-1
kio-fuse 5.0.1-1
kirigami2 5.100.0-1
kitemmodels 5.100.0-1
kitemviews 5.100.0-1
kjobwidgets 5.100.0-1
kjs 5.100.0-1
kmenuedit 5.26.4-1
kmod 30-3
knewstuff 5.100.0-1
knotifications 5.100.0-1
knotifyconfig 5.100.0-1
konsole 22.08.3-1
kpackage 5.100.0-1
kparts 5.100.0-1
kpat 22.08.3-1
kpeople 5.100.0-1
kpeoplevcard 0.1+r38.32d50a9-1
kpipewire 5.26.4-1
kpmcore 22.08.3-1
kpty 5.100.0-1
kquickcharts 5.100.0-1
krb5 1.20-3
krunner 5.100.0-1
ksanecore 22.08.3-1
kscreen 5.26.4-1
kscreenlocker 5.26.4-1
kservice 5.100.0-1
ksshaskpass 5.26.4-1
ksysguard 5.22.0-1
ksystemlog 22.08.3-1
